City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Kitsuki,JP,33.4167,131.6167,65.95,95,75,5.01,broken clouds
323,Sarakhs,IR,36.5449,61.1577,73.44,12,0,1.52,clear sky
324,Shimoda,JP,34.6667,138.95,75.16,68,86,4.9,overcast clouds
325,Mae Hong Son,TH,19.3003,97.9685,80.74,74,20,4.61,few clouds
326,Brigantine,US,39.4101,-74.3646,88.09,66,1,8.79,clear sky
327,Sampit,ID,-2.5333,112.95,78.19,81,65,1.36,broken clouds
328,Sabang,ID,5.8933,95.3214,84.25,74,100,17.49,overcast clouds
329,Sretensk,RU,52.2453,117.7093,42.26,69,100,13.0,overcast clouds
330,High Level,CA,58.5169,-117.136,71.71,32,40,7.34,scattered clouds
331,Campbell River,CA,50.0163,-125.2446,65.59,59,33,8.16,scattered clouds
332,Hay River,CA,60.8156,-115.7999,64.38,36,40,5.75,scattered clouds
333,Ales,FR,44.1333,4.0833,56.75,56,100,2.3,overcast clouds
334,Neiafu,TO,-18.65,-173.9833,84.88,79,20,8.05,few clouds
335,Oksfjord,NO,70.2396,22.3479,37.47,76,39,5.46,scattered clouds
336,Axim,GH,4.8699,-2.2405,79.45,87,46,5.21,scattered clouds
337,Belmonte,BR,-15.8631,-38.8828,75.7,90,52,9.86,broken clouds
338,Kiunga,PG,-6.1219,141.2906,78.91,84,100,5.59,overcast clouds
339,Vangaindrano,MG,-23.35,47.6,66.7,83,71,3.85,broken clouds
340,Ulaangom,MN,49.9811,92.0667,55.87,47,15,2.37,few clouds
341,Pisco,PE,-13.7,-76.2167,65.01,82,0,10.36,clear sky
342,Bud,US,39.447,-86.1758,84.29,79,91,5.48,overcast clouds
343,Farafangana,MG,-22.8167,47.8333,68.97,74,54,2.77,broken clouds
344,Linjiang,CN,41.8069,126.9078,60.03,46,1,6.38,clear sky
